"";"Champs";"Regie";"Soil_type";"Variete";"mean_temp";"total_precip";"frozen";"Rendement";"Pureté";"N_Fert";"P_Fert";"K_Fert";"Mg_Fert";"S_Fert";"Ca_Fert";"Zn_Fert";"Cu_Fert";"B_Fert";"Mn_Fert";"PhEau";"Age";"Ca_Sol (ppm)";"P_Sol (ppm)";"Al_Sol (ppm)";"K_Sol (ppm)";"Mg_Sol (ppm)";"Zn_Sol (ppm)";"Cu_Sol (ppm)";"Mn_Sol (ppm)";"B_Sol (ppm)";"Fe_Sol (ppm)";"N_Fol (%)";"P_Fol (%)";"K_Fol (%)";"Ca_Fol (%)";"Mg_Fol (%)";"B_Fol (%)";"Cu_Fol (%)";"Fe_Fol (%)";"Mn_Fol (%)";"Zn_Fol (%)";"Al_Fol (%)"
"504";"E15";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;33224,74596;0,94;40,14;10,704;64,224;10,704;26,3807216;0;2,8772352;1,784;0,7136;0;4,441412;15,4;80,212798426;110,410226194;1068,77894404;10,6001440486;9,5085929866;0,3381081836;1,5896690558;0,9471982594;0,0774218978;283,09459106;1,16;0,1;0,4;1;0,2;0,0037;7e-04;0,0134;0,0239;0,002;0,0077
"505";"F08";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;36811,30554;0,94;40,14;13,38;71,36;10,704;27,6937456;0;2,8772352;1,784;0,7136;0;4,482232;15,4;65,10290555;86,235651428;1063,05461454;9,4403601604;8,586089023;0,3027228966;1,4485611204;0,8755995264;0,099570638;255,18067162;1,02;0,1;0,4;1;0,2;0,0033;6e-04;0,0108;0,0333;0,0022;0,0069
"506";"F09";"Conventional";"Sand";"Bergman";14,8898876404494;700,9;55;31386,85722;0,94;40,14;13,38;71,36;8,5632;24,8393456;15,75;2,8772352;1,784;0,7136;0;4,523052;16,2;54,394095182;98,366577246;1132,84628964;9,3316824724;7,5988462194;0,3009303496;1,4384975938;0,70978389;0,168445105;243,07688028;0,94;0,1;0,4;1;0,2;0,003;5e-04;0,0135;0,0263;0,0024;0,0064
"507";"F10";"Conventional";"Sand";"Ben Lear";14,8898876404494;700,9;55;24311,87775;0,94;40,14;13,38;57,088;10,704;25,00939648;2,48094;1,51054848;1,4272;0,892;0;4,463863;17;60,624654102;115,475189778;1170,2618938;10,992018954;6,5269541456;0,291378222;1,6888067072;0,6763271722;0,2769602352;283,88566358;1,08;0,1;0,5;0,9;0,2;0,0043;5e-04;0,0094;0,0328;0,0019;0,0067
"508";"F12";"Conventional";"Sand";"Pilgrim";14,8898876404494;700,9;55;26417,42019;0,94;40,14;13,38;71,36;10,704;27,63544448;7,54362;0,44;1,4272;0,7136;0;4,447535;15,4;54,9768302;101,070201322;1000,74930384;9,5358993736;8,2801681162;0,263734527;1,5643744338;0,8521095368;0,3179343162;264,01011774;1,09;0,1;0,4;0,9;0,2;0,0042;6e-04;0,0125;0,0293;0,0022;0,0079
"509";"G02";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;31297,63932;0,94;42,816;13,38;71,36;10,704;27,6937456;0;2,8772352;1,784;0,7136;0;4,480191;15,4;77,365427276;107,086707938;988,05060204;10,5287140866;9,4643871902;0,3120693908;1,6947082802;1,0777357828;0,0792502442;265,98609538;1,13;0,1;0,4;1;0,2;0,0042;5e-04;0,0095;0,0384;0,0021;0,0078
"510";"G05";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;36035,10981;0,94;40,14;10,704;64,224;10,704;26,3807216;2,52;2,8772352;1,784;0,7136;0;4,441412;15,4;80,212798426;110,410226194;1068,77894404;10,6001440486;9,5085929866;0,3381081836;1,5896690558;0,9471982594;0,0991788748;283,09459106;1,19;0,1;0,5;0,9;0,2;0,0043;5e-04;0,0094;0,0493;0,002;0,0101
"511";"G07";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;39978,54099;0,94;40,14;13,38;78,496;8,5632;26,1523696;0;2,8772352;1,784;0,7136;0;4,480191;13,8;70,087987666;84,2901086;949,70867256;8,5871214266;9,189327599;0,3344198594;1,4521988312;1,0099811318;0,3324175904;223,47630854;1,15;0,1;0,4;1;0,2;0,0033;4e-04;0,0079;0,0187;0,0021;0,0082
"512";"G08";"Conventional";"Sand";"GH1";14,8898876404494;700,9;55;44002,26828;0,94;40,14;16,056;57,088;10,704;25,0676976;0;2,8772352;1,784;0,7136;0;4,53938;17;69,142300588;103,186903348;1161,55274692;9,2266457406;7,536386758;0,3340956956;1,2920739264;0,7515637208;0,1738998264;263,92780438;1,06;0,1;0,5;0,9;0,1;0,0026;4e-04;0,0055;0,0167;0,0013;0,0073
"513";"G09";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;41522,01066;0,94;40,14;16,056;71,36;10,704;27,63544448;0;2,8772352;1,4272;0,7136;0;4,525093;17;64,805775644;109,223829014;1060,93237952;9,892232292;7,204580494;0,3367710734;1,1820996122;0,7421833654;0,2276119528;262,18334008;0,98;0,1;0,4;0,9;0,2;0,0021;4e-04;0,0054;0,0098;0,0016;0,008
"514";"H03";"Conventional";"Sand";"Bergman";14,8898876404494;700,9;55;33528,08682;0,94;40,14;10,704;64,224;10,704;26,3807216;0;2,8772352;1,784;0,7136;0;4,441412;15,4;80,212798426;110,410226194;1068,77894404;10,6001440486;9,5085929866;0,3381081836;1,5896690558;0,9471982594;0,1365023974;283,09459106;1,17;0,1;0,4;0,8;0,2;0,0028;5e-04;0,0097;0,0362;0,002;0,005
"515";"H05";"Conventional";"Sand";"GH1";14,8898876404494;700,9;55;33893,88021;0,94;42,816;13,38;64,224;10,704;26,3807216;0;2,8772352;1,784;0,892;0;4,47815;17;58,352017804;91,397273828;1031,23709676;8,4923727602;6,6977588212;0,3088482726;1,4747957084;0,6936366578;0,0915097998;290,75855028;1,07;0,1;0,4;0,9;0,1;0,0038;5e-04;0,0112;0,0504;0,0012;0,0056
"516";"H08";"Conventional";"Sand";"Pilgrim";14,8898876404494;700,9;55;22331,24037;0,94;40,14;13,38;64,224;10,704;26,32242048;7,52094;0,44;1,4272;0,892;0;4,480191;17;57,439676312;105,718298358;1174,3467774;11,473024984;6,297686978;0,3108736724;1,6155263122;0,7101091852;0,4737047708;297,64208722;1,03;0,1;0,4;0,9;0,2;0,0036;4e-04;0,0045;0,0248;0,0021;0,0058
"517";"K01";"Conventional";"Sand";"GH1";14,8898876404494;700,9;55;31975,69536;0,94;42,816;10,704;64,224;10,704;26,3807216;2,43936;2,8772352;1,784;0,892;0;4,49856;17;82,411458808;107,42390866;1125,1098154;10,192605167;7,1857309304;0,349161351;1,9413979588;0,8433924476;0,1054804944;284,78117378;1,14;0,1;0,4;0,9;0,2;0,0043;5e-04;0,0107;0,0736;0,0015;0,0055
"518";"K03";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;32073,83505;0,94;40,14;10,704;64,224;10,704;26,3807216;0;2,8772352;1,784;0,7136;0;4,441412;15,4;80,212798426;110,410226194;1068,77894404;10,6001440486;9,5085929866;0,3381081836;1,5896690558;0,9471982594;0,0792502442;283,09459106;1,07;0,1;0,4;0,9;0,2;0,0041;5e-04;0,0088;0,0517;0,0018;0,0071
"519";"K07";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;27273,91203;0,94;40,14;13,38;71,36;10,704;27,63544448;0;2,8772352;1,4272;0,7136;0;4,500601;17;70,576675314;111,269905992;1124,7679112;10,7028928104;6,6443274968;0,3012999738;1,4362028492;0,7149711216;0,2512985548;276,2927299;1,09;0,1;0,4;1;0,2;0,004;5e-04;0,0093;0,0501;0,0019;0,006
"520";"K09";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;44716,01148;0,94;40,14;16,056;64,224;10,704;26,3807216;0;2,8772352;1,784;0,7136;0;4,514888;15,4;66,873346026;93,75557741;1048,09159214;8,3235254068;7,4642054884;0,3084814146;1,3582592404;0,8123055828;0,1851111538;230,95884344;1,07;0,1;0,4;0,9;0,2;0,0025;4e-04;0,006;0,0391;0,0017;0,007
"521";"K12";"Conventional";"Sand";"GH1";14,8898876404494;700,9;55;46197,02862;0,94;40,14;16,056;64,224;10,704;26,3807216;0;2,8772352;1,784;0,892;0;4,500601;17;55,746159346;87,434109766;1104,96462086;7,8276821438;6,1598648536;0,2840568074;1,1718279748;0,573390276;0,1396857004;258,00941636;1,19;0,1;0,4;0,7;0,1;0,0023;3e-04;0,0101;0,0202;0,001;0,0065
"522";"K15";"Conventional";"Sand";"Wilcox";14,8898876404494;700,9;55;41388,18381;0,94;40,14;13,38;78,496;10,704;29,0067696;0;2,8772352;1,784;0,5352;0;4,500601;13,8;67,325181186;84,54950048;905,50173258;8,2270245746;9,369704853;0,319520125;1,4890386678;0,9865611998;0,2066567166;219,49413104;1,1;0,1;0,5;0,8;0,2;0,0021;4e-04;0,0063;0,0258;0,0019;0,006
"523";"L02";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;40353,25617;0,94;40,14;13,38;78,496;8,5632;26,1523696;0;2,8772352;1,784;0,7136;0;4,480191;13,8;70,087987666;84,2901086;949,70867256;8,5871214266;9,189327599;0,3344198594;1,4521988312;1,0099811318;0,1267583088;223,47630854;1,26;0,1;0,4;1,1;0,2;0,0029;5e-04;0,0102;0,0331;0,0021;0,0085
"524";"L04";"Conventional";"Sand";"Ben Lear";14,8898876404494;700,9;55;32305,80159;0,94;42,816;10,704;64,224;10,704;26,3807216;2,48094;1,72634112;1,784;0,892;0;4,492437;17;86,219492628;114,889365514;1230,2143162;11,149492502;7,5938402526;0,3426045536;1,7923664098;0,748627605;0,0972575776;297,40576452;1,03;0,1;0,5;1,1;0,2;0,0029;5e-04;0,0088;0,0297;0,0017;0,0079
"525";"L07";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;14096,4282;0,94;34,788;13,38;64,224;8,5632;23,46802048;0;1,798272;1,4272;0,892;0;4,482232;16,2;54,300381496;107,473560014;1136,9965656;11,677893724;6,6150659508;0,4076849816;1,810241737;0,8801953298;0,2599184438;261,1232536;0,96;0,1;0,4;1;0,2;0,0031;4e-04;0,0093;0,0217;0,0019;0,0069
"526";"M02";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;30325,16421;0,94;42,816;13,38;71,36;10,704;27,6937456;0;2,8772352;1,784;0,7136;0;4,480191;15,4;77,365427276;107,086707938;988,05060204;10,5287140866;9,4643871902;0,3120693908;1,6947082802;1,0777357828;0,1498222142;265,98609538;1,08;0,1;0,4;1;0,2;0,0036;4e-04;0,0066;0,0316;0,0019;0,0056
"527";"M04";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;32930,32689;0,94;40,14;10,704;64,224;10,704;26,3807216;0;2,8772352;1,784;0,7136;0;4,441412;15,4;80,212798426;110,410226194;1068,77894404;10,6001440486;9,5085929866;0,3381081836;1,5896690558;0,9471982594;0,079932155;283,09459106;1,1;0,1;0,4;1,1;0,2;0,0038;5e-04;0,0075;0,0312;0,0021;0,0061
"528";"M07";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;20591,49132;0,94;34,788;13,38;64,224;10,704;26,32242048;0;2,22985728;1,4272;0,892;0;4,465904;17,8;66,237201486;131,10014158;1266,1256022;13,171244336;6,7985952036;0,4497111922;1,816576463;0,7946342236;0,1864738402;287,48828086;1,13;0,1;0,4;1,1;0,2;0,0035;5e-04;0,012;0,0258;0,0019;0,0071
"529";"O01";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;34322,12613;0,94;40,14;10,704;64,224;10,704;26,3807216;0;2,8772352;1,784;0,7136;0;4,441412;15,4;80,212798426;110,410226194;1068,77894404;10,6001440486;9,5085929866;0,3381081836;1,5896690558;0,9471982594;0,1171296586;283,09459106;1,13;0,1;0,4;1;0,2;0,0032;5e-04;0,009;0,0395;0,0019;0,0067
"530";"O03";"Conventional";"Sand";"Bergman";14,8898876404494;700,9;55;37400,14368;0,94;40,14;10,704;71,36;10,704;27,6937456;0;2,8772352;1,784;0,7136;0;4,439371;13,8;68,76634862;89,455042196;959,72351186;8,5240059234;9,0776440578;0,3039055112;1,6039959962;0,9985794692;0,3021272416;251,27362546;1,1;0,1;0,4;1,1;0,2;0,0026;6e-04;0,0077;0,0269;0,0022;0,0064
"531";"O07";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;33795,74052;0,94;40,14;10,704;64,224;10,704;26,3807216;0;2,8772352;1,784;0,7136;0;4,441412;15,4;80,212798426;110,410226194;1068,77894404;10,6001440486;9,5085929866;0,3381081836;1,5896690558;0,9471982594;0,0972575776;283,09459106;1,18;0,1;0,4;1,1;0,3;0,0028;6e-04;0,015;0,024;0,002;0,0085
"532";"P02";"Conventional";"Sand";"GH1";14,8898876404494;700,9;55;45081,80487;0,94;40,14;16,056;71,36;10,704;27,6937456;0;2,8772352;1,784;0,892;0;4,510806;15,4;55,977506308;87,215091674;1117,56970112;7,341885047;6,028442082;0,2702885888;1,399792389;0,6651690766;0,1692395256;229,4011738;1,19;0,1;0,4;1;0,2;0,0031;6e-04;0,0059;0,0804;0,0013;0,0055
"533";"P05";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;30423,3039;0,94;42,816;13,38;64,224;10,704;26,3807216;0;2,8772352;1,784;0,892;0;4,490396;17;85,569024508;121,114385934;1105,4882192;11,11179161;7,8536810358;0,333220306;1,669307529;0,9070212316;0,1620278974;295,3609232;0,93;0,1;0,4;0,9;0,2;0,0023;5e-04;0,0059;0,0142;0,0016;0,0063
"534";"P08";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;42521,25114;0,94;40,14;16,056;78,496;10,704;29,0067696;0;2,8772352;1,784;0,5352;0;4,484273;13,8;60,057938994;86,69780656;822,80325198;8,1986252706;9,1594932532;0,2996003022;1,3618857098;1,0298899002;0,156672681;212,65369084;1,16;0,1;0,4;0,9;0,2;0,0031;5e-04;0,0061;0,0336;0,0016;0,0073
"535";"Q01";"Conventional";"Sand";"GH1";14,8898876404494;700,9;55;25355,72718;0,94;42,816;16,056;49,952;10,704;23,7546736;0;2,66144256;1,784;0,892;0;4,565913;17;62,417279416;98,200756792;1093,30049442;9,4446593424;6,4239905868;0,4015308856;1,7878993134;0,646402626;0,2127040904;272,03732138;1,06;0,1;0,5;0,9;0,2;0,0025;5e-04;0,0062;0,0305;0,0013;0,0061
"536";"Q05";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;25632,30267;0,94;40,14;13,38;57,088;10,704;25,00939648;0;2,66144256;1,4272;0,892;0;4,463863;17;60,624654102;115,475189778;1170,2618938;10,992018954;6,5269541456;0,291378222;1,6888067072;0,6763271722;0,2638675478;283,88566358;1,05;0,1;0,5;1;0,2;0,0026;5e-04;0,0076;0,0182;0,0019;0,0069
"537";"Q08";"Conventional";"Sand";"Stevens";14,8898876404494;700,9;55;21171,40767;0,94;34,788;13,38;64,224;10,704;26,32242048;0;2,22985728;1,4272;0,892;0;4,496519;17,8;58,28167675;111,735690598;1238,974016;12,05842497;6,129614984;0,4138021744;1,7570517688;0,7281057502;0,2011897806;286,5572688;0,98;0,1;0,4;1;0,2;0,0022;5e-04;0,0069;0,028;0,0019;0,0064
"538";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;10135,15344;1;0;13,38;71,36;10,704;27,6937456;49,455;1,0789632;1,784;0,892;0;4,27405;13;19;39,93;1002,02;11,74;6,21;0,34;0,974518727;0,54;2,2739429254;111,9;0,51009;0,0986677825;0,5126300924;0,5347886763;0,1518402586;0,0097989878;0,0004993771;0,0190617762;0,0632075866;0,0016519509;0,0255637649
"539";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;18146,92086;1;0;13,38;71,36;10,704;27,6937456;50,715;1,4386176;1,784;0,892;0;4,488355;13;16,66;26,79;984,12;10,32;4,58;0,29;1,1753982;0,5;2,2739429254;100,59;0,60218;0,1145646129;0,5684476134;0,6011591691;0,1736510819;0,0132538659;0,0004856139;0,0173840069;0,0451631288;0,0016969768;0,0243337189
"540";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;20091,87108;1;13,38;13,38;71,36;10,704;27,6937456;49,4172;1,0789632;1,784;0,892;0;4,427125;13;25,22;33,03;990,97;13,15;6,37;0,38;1,161521274;0,72;2,2739429254;107,74;0,53644;0,1058401467;0,5693922707;0,7608129209;0,2102917833;0,0203681516;0,0005531891;0,0159984295;0,0518045487;0,0021087361;0,023011667
"541";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;12793,84686;1;13,38;13,38;71,36;10,704;27,6937456;45,108;1,4386176;1,784;0,892;0;4,45774;13;15,98;31,32;1383,1;10,79;4,48;0,33;1,825593204;0,44;2,3101274892;116,04;0,71716;0,0955021059;0,575011048;0,7420612811;0,1866387557;0,0167906828;0,000529648;0,0072870929;0,0463947918;0,0019111502;0,0105775393
"542";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;33501,32145;1;26,76;13,38;71,36;10,704;27,6937456;59,97096;1,0789632;1,784;0,892;0;4,47815;13;17,79;29,51;1328,69;12,2;5,14;0,32;1,269805852;0,52;2,3101274892;158,69;0,76939;0,0956319166;0,5322943909;0,7735500608;0,2046806818;0,0095651268;0,0005139997;0,0117753008;0,0464193893;0,0022420719;0,0184204665
"543";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;22402,61469;1;26,76;13,38;71,36;10,704;27,6937456;42,84;1,798272;1,784;0,892;0;4,45774;13;23,27;34,35;1045,7;11,58;4,64;0,26;1,331122863;0,45;10,6643375;113,69;0,8907;0,1128397105;0,573137539;0,885159445;0,2493369116;0,0155485792;0,0004739326;0,0084023602;0,0349214161;0,0022967208;0,0138637807
"544";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;26337,12408;1;40,14;13,38;71,36;10,704;27,6937456;58,527;1,798272;1,784;0,892;0;4,43733;13;17,01;26,67;885,29;9,33;4,69;0,19;0,520798315;0,44;0,497305226;102,5;1,0065;0,1090221625;0,6042045625;0,7754948889;0,2028880138;0,012579993;0,0005301977;0,0084099522;0,0348328764;0,0021363547;0,0131338425
"545";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;33224,74596;1;40,14;13,38;71,36;10,704;27,6937456;58,51188;1,798272;1,784;0,892;0;4,41692;13;24,69;41,82;1211,59;11,81;5,72;0,25;1,509729451;0,62;0,179466581;106,29;1,0253;0,1148636563;0,6074503859;0,7755305099;0,1896298194;0,0101390237;0,0006306925;0,010236345;0,0256105635;0,0022715436;0,0129439567
"546";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;27755,68869;1;53,52;13,38;71,36;10,704;27,6937456;66,43728;1,798272;1,784;0,892;0;4,45774;13;21,71;29,8;980,1;11,24;5,81;0,22;0,386753198;0,68;0,027552372;108,17;1,0201;0,1142611391;0,6865708019;0,7388331921;0,1926019603;0,0092225106;0,000530819;0,0107704527;0,0227051936;0,0020698789;0,0137845384
"547";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;25882,11279;1;53,52;13,38;71,36;10,704;27,6937456;57,25188;1,4386176;1,784;0,892;0;4,41692;13;27,5;38,03;1376;14,99;8,39;0,37;0,822715512;0,78;0,1827704636;142,89;1,1596;0,1247957985;0,6702594627;0,6980782451;0,1951603867;0,0085375879;0,0005667771;0,0074509844;0,0204902299;0,0020613372;0,0093166161
"548";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;21100,03335;1;0;13,38;71,36;10,704;27,6937456;48,447;1,798272;1,784;0,892;0;4,49856;13;17,34;21,48;1048,55;9,98;4,03;0,22;0,492352891;0,5;2,2797446474;78,85;1,1321;0,0940325372;0,570349585;0,6649983769;0,1911855295;0,0132414571;0,0005020204;0,0089062706;0,0327379018;0,0017490136;0,0136367652
"549";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;5834,85066;1;0;13,38;71,36;10,704;27,6937456;45,4608;1,4386176;1,784;0,892;0;4,386305;13;23,73;46,71;1600,98;16,32;6;0,37;0,367671398;0,58;2,3101274892;132,1;0,65023;0,0999972131;0,5231596021;0,6575741696;0,1836749227;0,0121840284;0,0004401297;0,0080669782;0,021841095;0,0017670672;0,0119361686
"550";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;25328,96181;1;40,14;13,38;71,36;10,704;919,6937456;64,18314;0,3596544;1,784;0,892;0;4,43733;13;15,94;25,26;786,54;8,52;4,75;0,21;1,617695487;0,47;0,040583553;105,83;0,64568;0,1252838833;0,7500315859;0,701094238;0,2047603626;0,0133797816;0,0005217914;0,010815634;0,0396682061;0,0020616084;0,0202613557
"551";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;28308,83967;1;40,14;13,38;71,36;10,704;919,6937456;61,96302;0;1,784;0,892;0;4,43733;13;18,24;38,76;1099,86;9,4;4,63;0,22;0,682530231;0,54;0,020910046;109,86;1,0555;0,1310001605;0,7248010506;0,7182577288;0,2137766004;0,0137929765;0,0005305344;0,0097621051;0,0373024047;0,0020430864;0,0183004252
"552";"A9";"Organic";"Organic";"Stevens";15,0472527472527;647,5;48;37284,16041;1;40,14;13,38;71,36;10,704;27,6937456;45,36126;1,798272;1,784;0,892;0;4,467945;13;27,74;34,31;1079,71;12,75;6,49;0,37;2,486549288;0,8;0,1827704636;122,93;1,0678;0,1087962931;0,6580665299;0,7845070605;0,1909782537;0,0110826873;0,0005166451;0,0080614472;0,0235946613;0,0020141498;0,0121126047
"553";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;25302,19644;1;40,14;13,38;71,36;10,704;27,6937456;58,5648;1,798272;1,784;0,892;0;4,488355;13;34,3;40,06;1199,22;15,95;7,81;0,44;1,619080284;1,08;2,3101274892;127,77;0,96468;0,1135839103;0,6616190328;0,8085542814;0,2095853539;0,012629697;0,0005447255;0,0090812578;0,0231951365;0,0020759224;0,0121787259
"554";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;30887,23698;1;40,14;13,38;0;10,704;14,5635056;57,16368;1,798272;1,784;0,892;0;4,47815;13;25,6;35,18;1131,41;12,09;5,63;0,32;0,764450627;0,61;0,001052948;102,67;1,0204;0,1246489433;0,6388990623;0,8070765857;0,2052994076;0,0121496312;0,0005105075;0,0088083742;0,0238360332;0,0019614922;0,0129975451
"555";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;21269,54736;1;40,14;13,38;0;10,704;14,5635056;57,32748;1,798272;1,784;0,892;0;4,51897;13;22,38;25,81;1075,28;11,05;4,81;0,27;0,949366697;0,55;2,2739429254;109,21;1,1048;0,1233890056;0,5930786221;0,8202830206;0,2133598071;0,0132622558;0,0005795109;0,0074708857;0,0271244572;0,0022347341;0,0112138277
"556";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;39041,75304;1;40,14;13,38;35,68;10,704;21,1286256;53,34588;1,798272;1,784;0,892;0;4,41692;13;25,62;46,1;1127,24;15,67;6,83;0,4;1,044819229;0,78;2,3101274892;129,45;1,075;0,1007817942;0,5788571951;0,8093066084;0,2143187699;0,0138402527;0,0005832823;0,0105738228;0,0392975051;0,0021994053;0,0154155536
"557";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;30155,6502;1;40,14;13,38;35,68;10,704;21,1286256;57,16368;1,798272;1,784;0,892;0;4,386305;13;25;40,15;1134,63;11,91;5,79;0,27;1,136899793;0,67;0,1827704636;100,92;0,96136;0,114454506;0,6302132437;0,7350749625;0,203924352;0,0117136237;0,0005625371;0,0079135685;0,0212725325;0,0021260059;0,0106205247
"558";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;27131,16339;1;40,14;13,38;71,36;10,704;27,6937456;58,5648;1,798272;1,784;0,892;0;4,386305;13;26,85;51,68;1236,4;15,3;7,35;0,35;1,374406907;0,77;0,1827704636;169,1;1,1113;0,1044853372;0,6402063765;0,8742791611;0,2085233652;0,0126873047;0,0005450436;0,0091437965;0,0264110045;0,0020499085;0,0137280972
"559";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;15247,33911;1;40,14;13,38;71,36;10,704;27,6937456;53,38368;1,798272;1,784;0,892;0;4,41692;13;21,74;32,42;1097,14;11,36;4,88;0,29;0,700034192;0,55;2,2739429254;83,86;1,0644;0,1163485;0,6502138722;0,8021470469;0,2139209409;0,0106926293;0,0005864355;0,0057994659;0,0216378771;0,0021475693;0,0091042483
"560";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;34786,05921;1;40,14;13,38;107,04;10,704;34,2588656;60,90588;1,798272;1,784;0,892;0;4,427125;13;21,19;38,53;1207;12,7;6,17;0,41;1,140379913;0,68;2,3101274892;148,01;1,055;0,1097301799;0,652694292;0,8021909077;0,2019729968;0,0123319864;0,000571687;0,0084524755;0,0419812943;0,0021852486;0,0131090397
"561";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;25257,58749;1;40,14;13,38;107,04;10,704;34,2588656;62,433;1,798272;1,784;0,892;0;4,386305;13;20,35;43,47;1046,17;9,1;5,31;0,31;2,171488147;0,69;0,1827704636;100,36;0,9646;0,1073083857;0,6527926411;0,7660675876;0,200146827;0,0091225551;0,0004890001;0,0053747101;0,0177259182;0,0019484095;0,0077553295
"562";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;31351,17006;1;13,38;13,38;71,36;10,704;27,6937456;53,34588;1,798272;1,784;0,892;0;4,365895;13;27,49;41,23;1106,71;12,88;7,16;0,37;0,711611705;0,86;2,3101274892;103,55;1,0188;0,0924368935;0,4824851826;0,7100454012;0,190688445;0,0128913449;0,0004715773;0,0084571914;0,0302122229;0,0017010138;0,0119952765
"563";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;23865,78825;1;13,38;13,38;71,36;10,704;27,6937456;49,5054;1,4386176;1,784;0,892;0;4,49856;13;19,5;35,63;1379,63;11,09;4,84;0,3;0,535395536;0,41;2,3101274892;133,26;0,8092;0,0985170937;0,5010274452;0,7482035908;0,2160071045;0,0147494058;0,0004197858;0,0075851928;0,0286233247;0,0017955158;0,0104947388
"564";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;30057,51051;1;40,14;13,38;71,36;10,704;27,6937456;58,5648;1,798272;1,784;0,892;0;4,43733;13;33,43;50,89;1365,92;11,68;6,71;0,67;1,530477042;0,79;0,1827704636;137,27;0,77973;0,1027329539;0,6386516343;0,7458988204;0,1838468255;0,0124508144;0,0005550827;0,0079992244;0,0242074572;0,0017233647;0,0121067697
"565";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;27202,53771;1;40,14;13,38;71,36;10,704;27,6937456;53,87508;1,798272;1,784;0,892;0;4,467945;13;19,51;27,32;1107,28;9,74;5,18;0,24;0,688169748;0,51;0,1827704636;123,85;0,98185;0,1313092451;0,6462605438;0,6912749553;0,1912051756;0,0075500788;0,0005981814;0,0096417399;0,0208190016;0,002086529;0,0113710571
"566";"A9";"Organic";"Sand";"Stevens";15,0472527472527;647,5;48;37792,70244;1;26,76;13,38;71,36;10,704;27,6937456;53,81208;1,798272;1,784;0,892;0;4,427125;13;22,16;36,5;1389,95;13,71;6,2;0,26;1,854036821;0,67;2,3101274892;149,6;1,1607;0,1043431885;0,5695462041;0,8959762931;0,2178517931;0,0122665375;0,0005255671;0,0091614086;0,0313921674;0,0021826809;0,0141608362
