Ferme;Regie;Latitude;Longitude;Municipalite;Champs;Annee_implantation;Annee_labo;Variete;Etat;Rendement_lbs_par_ac;Rendement_plus1_lbs_par_ac;;Foliaire_Azote_%;Foliaire_Phosphore_%;Foliaire_Potassium_%;Foliaire_Magnesium_%;Foliaire_Calcium_%;Foliaire_Bore_ppm;T-Soufre (?);Foliaire_Cuivre_ppm;Foliaire_Zinc_ppm;Foliaire_Manganese_ppm;Foliaire_Fer_ppm;Foliaire_Aluminium_ppm;Foliaire_Sodium_%;T-Molybdene (?);Sol_pH_eau;Sol_pH_tampon;Sol_Phosphore_kg_par_ha);Sol_Potassium_kg_par_ha;Sol_Magnesium_kg_par_ha;Sol_Calcium_kg_par_ha;Sol_Aluminium_ppm;Sol_Matiere_organique_%;Sol_Zinc_ppm;Sol_Cu_ppm;Sol_Bore_ppm;Sol_Manganese_ppm;Sol_Fer_ppm;Sol_Sodium_kg_par_ha;Dose_N_lbs_par_ac;Dose_P2O5_lbs_par_ac;Dose_K2O_lbs_par_ac;Dose_MgO_lbs_par_ac;Dose_SO3_lbs_par_ac;Dose_Ca_lbs_par_ac;Dose_Cl_lbs_par_ac;Dose_Zn_lbs_par_ac;Dose_Cu_lbs_par_ac;Dose_B_lbs_par_ac;Dose_Fe_lbs_par_ac;Dose_Mn_lbs_par_ac;Dose_Mo_lbs_par_ac
Atocas St-Louis;Biologique;46,1343;72,023;Saint-Louis de Blandford ;B02;1995;2017;Stevens;P;12497,981;25105,51776;;1,1;0,12;0,66;0,23;1,28;40,4;;3,3;32,5;219,4;49,2;72;0,0075;;4,6;5,8;312;112;42;410;1691;4,4;3,7;3,84;0,3;2,6;237,85;39;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0232;Saint-Louis de Blandford ;B03;1996;2017;Stevens;P;12514,63236;22610,32512;;1;0,11;0,61;0,19;0,82;30,4;;2,8;15,3;185,6;41,2;66;0,0075;;4,4;6,1;275;105;39;260;1255;3,2;3;3,24;0,4;2,6;232,03;38;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1343;72,0234;Saint-Louis de Blandford ;B04;1997;2017;Stevens;P;12256,15784;30273,12384;;1,1;0,11;0,68;0,21;0,88;42,4;;2,9;18,8;218,6;43,4;71;0,0075;;4,8;6,2;207;109;36;328;1619;3,2;3,2;2,7;0,4;2,2;214,21;41;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0236;Saint-Louis de Blandford ;B05;1998;2017;Ben Lear;P;13425,23409;29790,88;;1,1;0,1;0,63;0,2;0,85;34,2;;2,8;17,4;191,6;34,1;59;0,0075;;4,6;6,2;336;73;27;268;1448;2,3;2,6;2,08;0,5;1,5;166,28;29;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1343;72,0238;Saint-Louis de Blandford ;B06;2000;2017;Ben Lear;P;12482,21267;28501,424;;1,2;0,12;0,64;0,24;1,06;42,8;;3,2;23,3;267,9;46,9;78;0,0075;;4,6;6,2;273;66;26;228;1400;2,4;2,3;1,22;0,3;1,5;210,77;24;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0241;Saint-Louis de Blandford ;B07;2009;2017;Stevens;P;13962,79401;23453,05388;;1,1;0,12;0,77;0,23;0,9;40,7;;3;19,9;215,8;48,8;78;0,0075;;4,4;6,1;79;50;11,25;118;1748;2,2;1,9;2,1;0,1;1,5;360,63;16;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0243;Saint-Louis de Blandford ;B08;2009;2017;Stevens;P;13746,98938;24703,11174;;1,1;0,11;0,76;0,22;0,84;36;;2,9;17,2;186,5;49,1;77;0,0075;;4,7;6,6;117;44;17;112;1029;1,3;1,8;3,6;0,3;1,5;219,46;20;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1338;72,0245;Saint-Louis de Blandford ;B09;2016;2017;Mullica Queen;S;17359,14991;20819,21932;;1;0,16;0,72;0,2;0,84;21,5;;3,6;24,4;192,9;33,7;110;0,0075;;4,7;6,3;86;21;11,25;125;1276;1;0,4;0,42;0,3;1,5;88,08;11,25;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1338;72,0247;Saint-Louis de Blandford ;B10;2016;2017;Mullica Queen;S;9690,975077;18880,83138;;0,9;0,11;0,62;0,2;0,84;44,3;;2,8;30,4;170,9;54,9;138;0,0075;;4,9;6,5;111;11,25;11,25;170;1290;0,9;0,7;0,64;0,4;1,5;55,92;15;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1333;72,0238;Saint-Louis de Blandford ;B11;2015;2017;Mullica Queen;S;8252,960157;27125,65553;;1;0,15;0,56;0,23;1,11;78,1;;2,8;28,4;127;48,1;92;0,0075;;4,7;6,6;95;41;11,25;152;1416;1,2;1,2;0,58;0,4;1,5;180;29;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1333;72,0241;Saint-Louis de Blandford ;B12;2009;2017;Stevens;P;16052,28948;15930,43488;;1,1;0,12;0,73;0,23;0,98;37;;2,8;18,8;315,4;43,2;72;0,0075;;4,6;6,3;120;55;17;126;1347;2,2;2,4;2,14;0,3;1,5;246;28;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1333;72,0243;Saint-Louis de Blandford ;B13;2009;2017;Stevens;P;14191,5;19358,60928;;1,1;0,12;0,66;0,22;0,98;43,1;;4,9;21;197,1;48,2;82;0,0075;;4,6;6,3;99;61;19;161;1714;2,4;2,1;2,18;0,3;1,5;310,01;24;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0224;Saint-Louis de Blandford ;C01;2005;2017;Pilgrim;P;12119,37502;19671,47537;;1,1;0,11;0,65;0,21;1,02;34,3;;3,3;26,9;219;82,4;110;0,0075;;4,6;6;238;61;27;179;1568;4,7;1,3;0,87;0,4;1,5;160,55;41;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0222;Saint-Louis de Blandford ;C02;2005;2017;Pilgrim;P;11819,6107;25553,09305;;1,1;0,11;0,64;0,22;1,06;36,4;;3,4;25,7;209,2;57,9;89;0,0075;;4,7;5,9;148;76;27;190;1668;2,6;1,4;1,05;0,5;1,5;216,31;48;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,022;Saint-Louis de Blandford ;C03;2005;2017;Pilgrim;P;12909,78347;26127,78189;;1,1;0,11;0,69;0,22;0,9;31,7;;3,1;21,4;151,3;66,6;97;0,0075;;4,5;6,2;160;62;21;150;1533;2,3;1,6;1,34;0,5;1,5;186,3;38;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0218;Saint-Louis de Blandford ;C04;2005;2017;Pilgrim;P;10509,34519;24071,40547;;1,1;0,12;0,73;0,21;0,92;33,8;;3,2;23,1;147,5;42,8;74;0,0075;;4,4;5,9;203;78;24;261;1927;4,8;1,7;1,01;0,4;1,5;132,75;40;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0215;Saint-Louis de Blandford ;C05;2006;2017;Pilgrim;P;10641,13526;18661,84168;;1,1;0,11;0,67;0,21;0,94;30,7;;3,2;22,3;165,6;63;64;0,0075;;4,7;5,9;209;57;23;166;1671;3;1,3;2,36;0,3;1,5;196,59;31;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0213;Saint-Louis de Blandford ;C06;2006;2017;Pilgrim;P;10867,8673;18875,46947;;1,1;0,11;0,72;0,21;0,9;31,3;;4,3;23,8;161,5;45,2;82;0,0075;;4,9;6,2;147;47;17;122;1385;1,9;1;0,47;0,3;1,5;78,97;32;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0211;Saint-Louis de Blandford ;C07;2006;2017;Pilgrim;P;10677,6514;18440,52463;;1,1;0,11;0,69;0,23;1,05;37,7;;3,9;24,7;185,2;49,8;78;0,0075;;4,9;6,1;163;54;19;174;1700;2,4;1,2;0,78;0,3;1,5;125,01;43;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0209;Saint-Louis de Blandford ;C08;2006;2017;Pilgrim;P;11263,23751;20924,49095;;1,1;0,12;0,72;0,23;1,06;33,4;;3,6;26,2;189,2;49,5;81;0,0075;;4,8;6,2;199;60;21;175;1503;2;1,6;1,65;0,4;1,5;151,09;34;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1341;72,0224;Saint-Louis de Blandford ;D01;2005;2017;Stevens;P;10865,78513;29418,82241;;1;0,11;0,65;0,22;0,94;35,9;;3;21,2;213,7;58,1;93;0,0075;;4,6;6;167;54;22;133;1190;2;1,6;1,45;0,3;1,5;154,71;30;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1341;72,0222;Saint-Louis de Blandford ;D02;2005;2017;Stevens;P;11389,85518;27994,36147;;1,1;0,11;0,63;0,22;0,93;36,4;;2,8;19,2;165,7;49;79;0,0075;;4,6;6,4;186;71;28;187;1209;1,5;1,3;1,71;0,3;1,5;210,03;37;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1341;72,022;Saint-Louis de Blandford ;D03;2005;2017;Stevens;P;11962,28384;26217,45081;;1,1;0,12;0,67;0,24;1,1;40,8;;3,1;22,8;260,6;56,3;92;0,0075;;4,7;6,2;222;94;37;240;1227;2,2;1,8;2,42;0,4;1,5;202,12;45;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1341;72,0217;Saint-Louis de Blandford ;D04;2005;2017;Stevens;P;10194,49326;23985,13416;;1;0,12;0,67;0,21;0,88;33,1;;3,2;18,9;161,1;37;87;0,0075;;4,7;6,4;159;64;22;198;1352;1,5;1,1;1,56;0,3;1,5;211,17;38;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1341;72,0215;Saint-Louis de Blandford ;D05;2006;2017;Stevens;P;11238,19991;23559,07517;;1,1;0,11;0,63;0,22;0,89;34,1;;4,5;17,7;198,1;43,5;65;0,0075;;4,6;5,9;133;51;16;132;1750;2,8;1,1;1,42;0,3;1,5;177,77;36;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0213;Saint-Louis de Blandford ;D06;2006;2017;Stevens;P;12414,36622;23698,96865;;1;0,1;0,64;0,19;0,8;30,6;;2,6;15,2;151,4;41,7;66;0,0075;;4,6;6,3;117;73;21;194;1727;2,6;1,2;1,01;0,3;1,5;198,91;36;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0211;Saint-Louis de Blandford ;D07;2014;2017;Stevens;P;13201,44274;26809,44665;;1,2;0,16;0,85;0,22;1;80,6;;4,7;25,3;176,2;41,8;90;0,0075;;4,8;6,4;94;26;11,25;75;1080;1;0,5;0,9;0,3;1,5;89,6;27;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0209;Saint-Louis de Blandford ;D08;2014;2017;Stevens;P;13176,92038;25106,43124;;1,2;0,15;0,78;0,24;1,15;74,6;;5;28,1;193;86;97;0,0075;;4,7;6,4;101;33;11,25;75;1217;1,2;1;0,68;0,3;1,5;103,84;30;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1406;72,0236;Saint-Louis de Blandford ;E01;2010;2017;Stevens;P;12124,88538;21871,8513;;1,1;0,12;0,72;0,21;1,03;119,1;;3,1;27,2;183,1;67,1;113;0,0075;;4,7;6,5;107;49;11,25;124;1323;1,5;1,2;1,01;0,4;1,5;168,62;36;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1406;72,0238;Saint-Louis de Blandford ;E02;2010;2017;Stevens;P;11495,47337;26129,81818;;1;0,11;0,74;0,2;0,98;106,5;;2,7;24,8;160,6;48,5;93;0,0075;;4,7;6,3;92;47;11,25;75;1473;1,6;1,2;1,16;0,4;1,5;135,31;38;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1406;72,0241;Saint-Louis de Blandford ;E03;2010;2017;Stevens;P;8544,010769;22306,88031;;1;0,12;0,72;0,2;0,93;92;;3,8;21,4;152,1;37,2;72;0,0075;;4,8;6,4;89;51;11,25;101;1556;1,9;1;1,45;0,4;1,5;154,14;40;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1406;72,0243;Saint-Louis de Blandford ;E04;2010;2017;Stevens;P;9821,672864;11656,36732;;1;0,11;0,74;0,19;0,86;80,7;;4,1;23,7;157,7;39,9;70;0,0075;;4,8;6,5;64;53;11,25;75;1385;1,3;1;1,63;0,3;1,5;193,02;36;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1416;72,0241;Saint-Louis de Blandford ;F03;2010;2017;Stevens;P;14026,13817;15647,73774;;1,1;0,11;0,72;0,21;1,05;79,2;;3,3;22;212,8;41,6;96;0,0075;;4,9;6,5;58;33;11,25;75;1745;1,4;0,8;3,35;0,4;1,5;169,75;46;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1415;72,0243;Saint-Louis de Blandford ;F04;2010;2017;Stevens;P;13639,02432;19657,08741;;1,1;0,12;0,72;0,2;1,05;80,6;;2,9;23,9;251,6;44,1;85;0,0075;;4,6;6,6;95;57;11,25;75;1682;1,5;1,3;1,15;0,4;1,5;184,9;40;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1406;72,0221;Saint-Louis de Blandford ;G01;2010;2017;Stevens;P;16860,47813;28557,53333;;1,1;0,12;0,77;0,21;0,84;50,8;;2,9;17,7;203,8;83,2;120;0,0075;;4,5;6,5;124;39;11,25;75;867;1,3;1,6;1,74;0,3;1,5;174,03;19;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1407;72,0221;Saint-Louis de Blandford ;G02;2010;2017;Stevens;P;15860,64139;26686,74569;;1;0,12;0,77;0,2;0,87;83,2;;3,8;18,4;164,2;61;99;0,0075;;4,6;6,4;84;29;11,25;75;1299;1,1;1;1,16;0,2;1,5;128,91;29;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1409;72,0221;Saint-Louis de Blandford ;G03;2010;2017;Stevens;P;13736,57783;27253,55737;;1;0,12;0,81;0,22;0,95;90,3;;4,2;19,5;237,1;66,3;106;0,0075;;4,6;6,4;118;48;11,25;125;1381;1,4;1,3;3,05;0,3;1,5;128,54;34;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1411;72,0221;Saint-Louis de Blandford ;G04;2010;2017;Stevens;P;11896,9913;24323,3989;;1;0,13;0,74;0,22;1,02;97,9;;3,3;21,9;199,5;71,1;100;0,0075;;4,9;6,5;74;31;11,25;75;1289;1;0,7;0,76;0,4;1,5;123,32;41;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1352;72,0228;Saint-Louis de Blandford ;A01;2008;2018;Pilgrim;P;20257,6081;21319,25709;;1,1;0,12;0,69;0,23;1,02;37,4;;3,3;21,2;211,2;42,4;98;0,0075;;4,6;5,7;52;83;17;110;1970;3,7;3,7;1,71;0,4;1,5;191,93;48;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1352;72,023;Saint-Louis de Blandford ;A02;1995;2018;Stevens;P;22661,01408;25078,2078;;1,2;0,13;0,62;0,24;0,94;34;;3,2;18,6;262;38,2;88;0,0075;;4,7;5,9;287;101;26;157;1731;3,8;2,8;2,27;0,4;1,5;249,51;46;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1352;72,0232;Saint-Louis de Blandford ;A03;1996;2018;Stevens;P;25108,33506;21927,70294;;1,2;0,13;0,58;0,24;0,96;39,2;;3,2;18;407,4;39,1;83;0,0075;;4,5;6,1;340;96;23;101;1554;3,8;2,3;2,23;0,4;1,5;170,54;48;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1352;72,0234;Saint-Louis de Blandford ;A04;1997;2018;Stevens;P;25588,51731;22679,87668;;1,3;0,15;0,69;0,22;0,9;41,1;;3,4;19,7;383,6;40,3;91;0,0075;;4,7;6,2;187;78;20;161;1564;2,7;1,4;1,91;0,5;1,5;198,27;53;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1352;72,0236;Saint-Louis de Blandford ;A05;1998;2018;Stevens;P;27893,617;26519,73313;;1,3;0,12;0,56;0,24;0,98;37,9;;3;20,7;248,8;37,1;86;0,0075;;4,5;6;338;104;23;151;1563;2,9;3,7;2,07;0,4;1,5;213,39;43;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1352;72,0238;Saint-Louis de Blandford ;A06;2000;2018;Stevens;P;25583,474;25137,83;;1,2;0,12;0,59;0,23;0,98;33,4;;3,2;20,1;205,1;37,8;80;0,0075;;4,6;6,1;260;120;27;126;1559;2,6;4,1;3,23;0,6;1,5;227,24;57;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1352;72,0241;Saint-Louis de Blandford ;A07;2000;2018;Pilgrim;P;19677,2886;27556,32521;;1,2;0,13;0,54;0,26;1,15;35,2;;3,2;26,7;286,3;40,8;88;0,0075;;4,5;6,1;245;92;17;75;1471;2,1;2,2;2,17;0,5;1,5;276,46;53;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1352;72,0243;Saint-Louis de Blandford ;A08;2002;2018;Pilgrim;P;17480,84674;23676,05449;;1,2;0,13;0,5;0,25;1,16;39,7;;3,2;28,1;295,5;42,9;85;0,0075;;4,6;6,1;216;75;15;110;1508;2;2;1,62;0,5;1,5;234,5;54;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1343;72,0228;Saint-Louis de Blandford ;B01;1995;2018;Stevens;P;25746,31304;19897,40632;;1,2;0,12;0,54;0,24;1,06;38,4;;3,2;22;358,1;35,6;87;0,0075;;4,4;6;394;138;38;209;1510;4,5;3,9;3,27;0,7;1,5;265,92;75;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1343;72,023;Saint-Louis de Blandford ;B02;1995;2018;Stevens;P;25105,51776;25215,0348;;1,1;0,12;0,56;0,21;0,93;32,4;;2,8;17,4;252,3;33,7;77;0,0075;;4,5;6;352;118;25;177;1585;3,6;2,8;3,12;0,6;1,5;291,05;63;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0232;Saint-Louis de Blandford ;B03;1996;2018;Stevens;P;22610,32512;25857,1302;;1,2;0,12;0,52;0,21;0,88;28,3;;3,1;17,4;206,9;32,2;68;0,0075;;4,5;6;315;105;23;106;1375;2,8;2,5;2,78;0,7;1,5;282,21;66;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1343;72,0234;Saint-Louis de Blandford ;B04;1997;2018;Stevens;P;30273,12384;27538,3176;;1,2;0,12;0,57;0,21;0,89;32,7;;3,2;19;243,2;32,7;72;0,0075;;4,6;6,3;223;116;23;162;1669;3,1;6;2,23;0,5;1,5;223,24;54;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0236;Saint-Louis de Blandford ;B05;1998;2018;Ben Lear;P;29790,88;27219,03571;;1,3;0,12;0,54;0,24;0,99;36,8;;2,9;20;269,4;32,5;79;0,0075;;4,8;6,2;424;77;22;201;1434;2,3;2,5;2,31;0,5;1,5;168,57;58;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1343;72,0238;Saint-Louis de Blandford ;B06;2000;2018;Ben Lear;P;28501,424;26431,83471;;1,3;0,12;0,58;0,22;0,96;31,5;;3,2;17,5;215,9;32,4;80;0,0075;;4,5;6,3;271;104;19;75;1304;2,5;3,1;3,12;0,5;1,5;258,15;54;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0241;Saint-Louis de Blandford ;B07;2009;2018;Stevens;P;23453,05388;23941,44731;;1,2;0,12;0,67;0,23;0,87;34,4;;3,1;15,7;242,9;30,8;59;0,0075;;4,7;6,3;99;58;11,25;75;1537;1,9;1,3;3,03;0,7;1,5;314,41;67;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0243;Saint-Louis de Blandford ;B08;2009;2018;Stevens;P;24703,11174;19763,21715;;1,2;0,12;0,58;0,24;0,96;31,7;;3,2;15,5;255,3;37,8;72;0,0075;;4,7;6,4;99;50;11,25;75;1210;1,5;1,4;2,13;0,3;1,5;245,4;39;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1338;72,0245;Saint-Louis de Blandford ;B09;2016;2018;Mullica Queen;P;20819,21932;37553,53019;;1,1;0,14;0,59;0,23;1,03;31,2;;3,3;25,8;221,4;43,9;100;0,0075;;4,9;6,5;95;34;11,25;75;1222;1;3,4;0,87;0,7;1,5;103,45;56;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1338;72,0247;Saint-Louis de Blandford ;B10;2016;2018;Mullica Queen;P;18880,83138;31071,70327;;;;;;;;;;;;;;;;4,8;6,4;100;35;11,25;75;1468;1,2;0,5;1,32;0,4;1,5;85,58;47;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1333;72,0238;Saint-Louis de Blandford ;B11;2015;2018;Mullica Queen;P;27125,65553;47011,48647;;1,2;0,12;0,51;0,26;1,22;44,9;;3,7;32,1;207,4;42,1;96;0,0075;;4,9;6,6;84;57;11,25;75;1299;1,2;1,3;1,87;0,5;1,5;204,48;42;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1333;72,0241;Saint-Louis de Blandford ;B12;2009;2018;Stevens;P;15930,43488;24002,6286;;1,1;0,11;0,54;0,23;1,05;36,9;;3,3;18,1;262,8;39,1;74;0,0075;;4,6;6,3;80;72;11,25;75;1745;2,5;2,2;5,25;0,5;1,5;269,09;55;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1333;72,0243;Saint-Louis de Blandford ;B13;2009;2018;Stevens;P;19358,60928;25382,4;;1,1;0,12;0,62;0,23;1,05;39;;3,2;21,6;234,9;45,3;102;0,0075;;4,7;6,2;129;101;16;75;1344;2,2;2,9;3,32;0,5;1,5;306,16;41;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0224;Saint-Louis de Blandford ;C01;2005;2018;Pilgrim;P;19671,47537;26015,56842;;1,1;0,12;0,57;0,22;1,08;30,9;;3,1;22;216,3;46,8;91;0,0075;;4,5;6,3;227;70;16;75;1140;1,8;1,2;1,7;0,4;1,5;206,92;38;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0222;Saint-Louis de Blandford ;C02;2005;2018;Pilgrim;P;25553,09305;25242,54632;;1;0,11;0,58;0,21;1,02;36,2;;3;22,5;204;45,9;97;0,0075;;4,6;6,2;146;65;11,25;75;1681;2,4;1,1;2,74;0,7;1,5;202,81;64;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,022;Saint-Louis de Blandford ;C03;2005;2018;Pilgrim;P;26127,78189;24843,51105;;1,1;0,11;0,52;0,22;0,96;31,1;;2,8;19,2;177,1;41,8;87;0,0075;;4,7;6,2;198;74;11,25;75;1418;2,1;1,6;2,85;0,7;1,5;188,47;70;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0218;Saint-Louis de Blandford ;C04;2005;2018;Pilgrim;P;24071,40547;24412,46947;;1,1;0,12;0,61;0,23;1,05;33,6;;3,5;24,9;231;46;92;0,0075;;4,4;5,8;201;83;18;75;1789;4,3;1,3;3,68;0,4;1,5;173,48;41;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0215;Saint-Louis de Blandford ;C05;2006;2018;Pilgrim;P;18661,84168;20393,93737;;1;0,11;0,57;0,21;1,04;30,2;;3,4;21,8;187,7;36,9;89;0,0075;;4,7;6;212;75;11,25;75;1711;2,7;1,4;2,69;0,5;1,5;141,26;50;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0213;Saint-Louis de Blandford ;C06;2006;2018;Pilgrim;P;18875,46947;19887,40263;;1,1;0,12;0,64;0,23;1,07;30,6;;3,7;21,7;178,5;37,9;95;0,0075;;4,7;6,3;158;58;11,25;75;1701;1,9;1,1;0,85;0,5;1,5;133,67;48;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0211;Saint-Louis de Blandford ;C07;2006;2018;Pilgrim;P;18440,52463;21352,38737;;1,2;0,12;0,61;0,23;1,03;30,9;;3,8;21,8;235,9;37,6;96;0,0075;;4,6;6;200;80;11,25;75;1603;2,7;1,6;2,17;0,5;1,5;141,32;51;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1353;72,0209;Saint-Louis de Blandford ;C08;2006;2018;Pilgrim;P;20924,49095;20471,17;;1,2;0,12;0,6;0,22;1,02;27,9;;3,4;20,7;189,8;38,4;102;0,0075;;4,5;6,3;213;71;11,25;75;1289;2,2;1,5;2,27;0,4;1,5;190,85;37;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1341;72,0224;Saint-Louis de Blandford ;D01;2005;2018;Stevens;P;29418,82241;24853,16741;;1,2;0,12;0,63;0,25;1,04;35,5;;3,1;20,8;244,6;38,9;94;0,0075;;4,6;6,1;288;81;19;75;1081;2;1,9;2,09;0,5;1,5;220,31;41;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1341;72,0222;Saint-Louis de Blandford ;D02;2005;2018;Stevens;P;27994,36147;24084,62513;;1;0,12;0,68;0,22;0,94;38;;2,7;18,4;200,7;35,3;84;0,0075;;4,6;6,2;172;66;11,25;75;1273;2,2;1,3;1,94;0,5;1,5;219,26;39;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1341;72,022;Saint-Louis de Blandford ;D03;2005;2018;Stevens;P;26217,45081;22065,43054;;1,2;0,12;0,6;0,25;1,04;35,8;;3,4;21,6;259,3;45,3;96;0,0075;;4,4;6,2;219;80;11,25;75;1361;2,4;1,3;2,06;0,4;1,5;225,08;31;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1341;72,0217;Saint-Louis de Blandford ;D04;2005;2018;Stevens;P;23985,13416;26764,65126;;1,1;0,12;0,68;0,24;0,96;34,7;;3,4;19,4;232,3;34,4;82;0,0075;;4,6;6,2;184;63;11,25;75;1419;2,3;1,4;1,7;0,3;1,5;171,85;26;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1341;72,0215;Saint-Louis de Blandford ;D05;2006;2018;Stevens;P;23559,07517;23730,75474;;1,3;0,12;0,61;0,23;0,99;37,7;;3,1;20;248,5;32,5;88;0,0075;;4,4;6;191;71;11,25;75;1454;2,5;1,3;3,52;0,4;1,5;251,59;29;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0213;Saint-Louis de Blandford ;D06;2006;2018;Stevens;P;23698,96865;23480,08964;;1,1;0,12;0,66;0,23;0,94;36,4;;2,7;18,9;226,5;31,6;82;0,0075;;4,6;6;242;93;11,25;75;1468;2,7;1,8;3,03;0,6;1,5;225,4;53;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0211;Saint-Louis de Blandford ;D07;2014;2018;Stevens;P;26809,44665;28219,12408;;1,2;0,13;0,64;0,25;1,24;43,9;;3,8;27,4;367,8;40,8;101;0,0075;;4,7;6,9;90;36;11,25;75;876;0,8;0,6;0,75;0,4;1,5;129,85;28;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1342;72,0209;Saint-Louis de Blandford ;D08;2014;2018;Stevens;P;25106,43124;22218,23565;;1,2;0,13;0,65;0,24;1,18;37,2;;4,1;26,8;288,7;37,7;95;0,0075;;4,7;6,5;117;34;11,25;75;1123;1,1;0,9;1,64;0,3;1,5;129,67;24;;;;;;;;;;;;;
Atocas St-Louis;Biologique;46,1406;72,0236;Saint-Louis de Blandford ;E01;2010;2018;Stevens;P;21871,8513;22659,18092;;1;0,1;0,68;0,19;0,92;57,4;;2,8;22,3;223,1;54;95;0,04;;5,6;6,4;104;74;11,25;75;1349;1,7;1,6;1,74;0,5;1,5;169;165;;;;;;;;;;;;;
